objectid,filename,youtubeid,vimeoid,Narrator,Transcript,Language
coll001,test001.jpg,,,Avery Burrow,,English
coll002,,,,Barbara Scales,,English
coll003,,,,Carmen Colas,,English
coll004,,,,Charlie Boudreau,,English
coll005,,,,Claudine Metcalfe,,Français
coll006,,,,Dayna McLeod,,English
coll007,,,,Dominique M,,Français
coll008,,,,Elana Wright,,English
coll009,,,,Florence Gagnon,,Français
coll010,,,,France Désilets,,Français
coll011,,,,Johanne Cadorette,,Français
coll012,,,,Julie Podmore,,English
coll013,,,,Laure Neuville,,Français
coll014,,,,Lucie Duguay,,Français
coll015,,,,Marlyne Desir,,English
coll016,,,,Miriam Ginestier,,Français
coll017,,,,Nathalie Di Palma,,Français
coll018,,,,Paryse Taillefer,,Français
coll019,,,,Richére Trudeau,,Français
coll020,,,,Sandrine Bourget-Lapointe + Nicolas Longtin-Martel,,Français
coll021,,,,Sarah Forbes,,English
coll022,,,,Saz Zenetzis,,English
coll023,,,,Suzanne Girard,,Français
coll024,,,,Zoë Cousineau,,English